psu,StudentLoginID,Q1,Q2,Q3,Q5A,Q5B,Q5C,Q5D,Q5E,Q6,Q7,Q8,Q34,Q35,Q77,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96
58123,25830,7,2,4,.N,.N,.N,.N,.N,2,.S,.S,2,.S,1,3,3,5,4,3,3,4,3
58123,25831,8,1,4,,,,,1,2,.S,.S,2,.S,1,3,1,3,5,4,1,4,3
58123,25832,6,1,4,1,1,,,,2,.S,.S,2,.S,1,5,1,3,4,4,1,3,3
58123,25833,6,1,4,.N,.N,.N,.N,.N,2,.S,.S,2,.S,1,3,1,4,4,2,1,2,2
58123,25834,7,1,4,,,,,1,2,.S,.S,2,.S,1,6,6,6,6,6,6,6,6
58123,25835,7,2,4,1,,,,,2,.S,.S,2,.S,3,2,3,3,2,2,3,2,2
58123,25837,6,2,4,1,,,,,2,.S,.S,2,.S,1,5,3,6,2,3,2,3,2
58123,25838,7,1,4,,,,,1,2,.S,.S,2,.S,1,3,3,2,3,3,3,2,2
58123,25839,6,1,4,,,,,1,2,.S,.S,2,.S,1,3,3,4,2,4,4,4,2
58123,25841,7,1,4,,,,,1,2,.S,.S,2,.S,1,3,1,3,2,2,1,3,2
58123,25842,7,1,4,,,,,1,2,.S,.S,2,.S,1,3,1,3,2,3,1,4,2
58123,25843,7,2,4,,,,,1,2,.S,.S,1,2,1,3,4,5,2,3,4,3,2
58123,25845,6,1,4,1,,,,,2,.S,.S,2,.S,2,3,1,4,3,3,1,3,3
58123,25846,6,1,4,,,,,1,2,.S,.S,2,.S,2,3,1,2,3,2,1,2,2
58123,25847,7,2,4,1,,,,,1,6,3,1,6,1,2,1,3,2,2,1,2,2
58123,25849,6,2,4,.N,.N,.N,.N,.N,2,.S,.S,2,.S,3,3,2,3,2,2,2,2,2
58123,25850,7,1,4,,,1,,,2,.S,.S,2,.S,1,5,1,3,2,.N,.N,.N,.N
58123,25853,7,2,4,1,,,,,2,.S,.S,2,.S,1,4,2,4,3,4,3,4,3
58123,25854,7,1,4,,,,,1,2,.S,.S,2,.S,1,4,3,5,3,4,2,5,4
58123,25857,7,2,4,,,,,1,2,.S,.S,2,.S,1,2,2,4,3,3,2,5,2
58123,25858,6,2,4,,,,,1,2,.S,.S,2,.S,2,2,1,4,2,2,1,4,2
58123,25860,6,1,4,1,,,,,1,6,1,1,6,1,5,1,.N,5,4,1,4,4
58123,25861,8,1,4,,,,,1,2,.S,.S,2,.S,1,3,3,3,4,4,3,3,3
58123,25862,7,2,4,,,,,1,1,8,1,1,8,1,3,1,3,2,4,1,4,4
58123,25863,7,2,4,,,1,,,2,.S,.S,2,.S,1,3,3,6,4,4,1,4,3
58123,25865,10,1,7,.N,.N,.N,.N,.N,1,9,3,1,9,2,2,2,3,2,2,2,3,.N
58123,25868,10,1,7,,,,,1,1,11,5,2,.S,1,3,3,6,2,2,2,6,2
58123,25872,7,2,5,,,1,,,1,8,1,1,8,2,2,1,2,2,2,1,2,2
58123,25876,9,1,7,,,,,1,2,.S,.S,2,.S,1,4,1,3,2,4,1,3,2
58123,25880,7,2,5,.N,.N,.N,.N,.N,2,.S,.S,2,.S,1,4,3,4,4,4,4,5,3
58123,25884,9,1,7,,,,,1,2,.S,.S,2,.S,1,3,4,5,2,3,4,5,2
58123,25888,7,1,5,.N,.N,.N,.N,.N,2,.S,.S,2,.S,2,2,2,3,2,2,2,3,2
58123,25892,9,1,7,,,,,1,1,8,5,1,8,1,4,4,5,4,4,4,4,4
